;estado;cidade;pib;populacao;pib_percapita
0;BAHIA;Tremedal;57883.9921875;18433;3140.23999023
1;RIO GRANDE DO SUL;Turuçu;45723.875;4000;11430.96972656
2;ESPIRITO SANTO;Vitória;19782628.0;320156;61790.58984375
3;MINAS GERAIS;Jacutinga;247816.0;21424;11567.20996094
4;PIAUÍ;Nazária;20951.38085938;7895;2653.75
5;MINAS GERAIS;Pedra Azul;187523.671875;26000;7212.45019531
6;PIAUÍ;Teresina;8700461.0;802537;10841.20019531
7;PIAUÍ;Amarante;65322.88671875;17892;3650.94995117
8;GOIÁS;Matrinchã;45910.546875;4420;10387.0
9;PERNAMBUCO;Cachoeirinha;80433.8046875;18123;4438.22021484
10;PARÁ;Afuá;100038.40625;32633;3065.56005859
11;PERNAMBUCO;Fernando de Noronha;26980.71484375;3108;8681.04980469
12;RIO GRANDE DO SUL;Frederico Westphalen;490769.53125;28428;17263.59960938
13;SERGIPE;Amparo de São Francisco;12769.73339844;2268;5630.39013672
14;SÃO PAULO;Itapeva;1120700.0;89768;12484.40039062
15;PARAÍBA;Bayeux;604882.125;96198;6287.89013672
16;TOCANTINS;Ananás;59541.40625;9514;6258.29003906
17;MINAS GERAIS;Santo Antônio do Retiro;25568.890625;7087;3607.86010742
18;PARAÍBA;Serra Branca;62123.3359375;12816;4847.33007812
19;AMAZONAS;Envira;69843.03125;17614;3965.19995117
20;TOCANTINS;Oliveira de Fátima;11591.94921875;1129;10267.45019531
21;SÃO PAULO;Elisiário;52295.234375;3317;15765.8203125
22;SANTA CATARINA;Otacílio Costa;364577.8125;16587;21979.73046875
23;MINAS GERAIS;Sericita;39047.0703125;7345;5316.14013672
24;MINAS GERAIS;Diamantina;287632.03125;46372;6202.70996094
25;BAHIA;Maetinga;23558.44726562;7884;2988.12988281
26;CEARÁ;Iracema;62552.0234375;15114;4138.68017578
27;RORAIMA;São João da Baliza;59372.453125;6028;9849.45019531
28;RIO GRANDE DO SUL;Paulo Bento;37882.76953125;2149;17628.08984375
29;PERNAMBUCO;Alagoinha;57886.21484375;14913;3881.59008789
30;PIAUÍ;Inhuma;62012.0234375;15490;4003.36010742
31;MARANHÃO;Joselândia;60842.48046875;16188;3758.48999023
32;RIO DE JANEIRO;Itaguaí;3008327.25;105633;28479.05078125
33;MINAS GERAIS;Cedro do Abaeté;10221.85644531;1221;8371.70996094
34;RIO GRANDE DO SUL;Cacequi;174171.703125;13578;12827.49023438
35;PERNAMBUCO;Barra de Guabiraba;46595.87109375;13623;3420.37988281
36;BAHIA;Ibirapuã;74997.40625;7893;9501.75976562
37;PARAÍBA;Bernardino Batista;11964.66210938;3315;3609.25
38;PARAÍBA;Lagoa;19203.7109375;4949;3880.32006836
39;MATO GROSSO;Novo Horizonte do Norte;32778.5078125;3970;8256.54980469
40;MINAS GERAIS;Nova Lima;2120726.75;76608;27682.83984375
41;PARÁ;Tomé-Açu;226379.46875;48607;4657.33984375
42;BAHIA;Governador Mangabeira;92903.8203125;20668;4495.06005859
43;PIAUÍ;Aroeiras do Itaim;8614.79785156;2759;3122.42993164
44;GOIÁS;Perolândia;145665.390625;2830;51471.87109375
45;PARAÍBA;Pocinhos;68767.046875;16538;4158.12011719
46;BAHIA;Ibititá;62366.88671875;19410;3213.12988281
47;TOCANTINS;Aliança do Tocantins;44565.703125;5822;7654.70996094
48;MINAS GERAIS;Igarapé;277495.78125;33773;8216.5
49;TOCANTINS;Lagoa da Confusão;263527.4375;8711;30252.25976562
50;PARAÍBA;Puxinanã;59902.4921875;13354;4485.72998047
51;SÃO PAULO;Guarujá;3429098.5;308058;11131.33984375
52;RIO GRANDE DO SUL;Engenho Velho;24098.88671875;1467;16427.33007812
53;PARANÁ;Rio Bom;29087.8984375;3292;8835.9296875
54;BAHIA;Sátiro Dias;75908.4609375;18919;4012.29003906
55;SANTA CATARINA;José Boiteux;50867.8984375;5054;10064.87988281
56;PARÁ;Cachoeira do Arari;62800.12890625;20411;3076.7800293
57;BAHIA;Irajuba;29224.98828125;7666;3812.29003906
58;PERNAMBUCO;Palmares;387086.59375;58819;6580.97998047
59;SERGIPE;Brejo Grande;39924.37890625;8086;4937.47021484
60;PARANÁ;Altamira do Paraná;37563.4296875;3799;9887.71972656
61;MATO GROSSO;Nova Santa Helena;49004.0;3473;14109.99023438
62;PARAÍBA;São Sebastião do Umbuzeiro;15186.453125;3170;4790.68017578
63;MATO GROSSO;Nova Guarita;45700.81640625;4907;9313.38964844
64;MARANHÃO;Serrano do Maranhão;40995.56640625;11085;3698.29003906
65;SÃO PAULO;Pedrinhas Paulista;75881.6875;2927;25924.73046875
66;GOIÁS;Santa Rita do Novo Destino;29350.61328125;3576;8207.66992188
67;PARAÍBA;Cabedelo;2332828.25;51865;44978.8515625
68;PERNAMBUCO;Cabrobó;188859.3125;30432;6205.95019531
69;ALAGOAS;Dois Riachos;35078.25390625;11200;3131.98999023
70;MATO GROSSO DO SUL;Corumbá;2715506.75;99467;27300.58007812
71;MINAS GERAIS;Santa Maria do Suaçuí;71374.390625;14931;4780.27978516
72;MATO GROSSO;Tapurah;321427.21875;11517;27908.93945312
73;PARÁ;Bragança;382807.5625;107060;3575.63989258
74;RIO DE JANEIRO;Três Rios;1304643.375;76075;17149.43945312
75;ALAGOAS;Belém;19550.015625;5083;3846.15991211
76;CEARÁ;Abaiara;33615.54296875;11077;3034.7199707
77;BAHIA;Itaquara;33105.69921875;7743;4275.56982422
78;MARANHÃO;Santa Luzia;243949.921875;71455;3414.04003906
79;PARAÍBA;Patos;615180.875;100732;6107.10009766
80;SÃO PAULO;São Luís do Paraitinga;82827.171875;10908;7593.25
81;SANTA CATARINA;Cordilheira Alta;128883.09375;3531;36500.44921875
82;MINAS GERAIS;Catas Altas da Noruega;14633.55566406;3573;4095.59008789
83;ACRE;Marechal Thaumaturgo;109181.8671875;14275;7648.47021484
84;PARAÍBA;Riachão do Bacamarte;17855.66796875;4319;4134.20996094
85;MARANHÃO;Senador Alexandre Costa;31518.8046875;9414;3348.08007812
86;MARANHÃO;São Raimundo do Doca Bezerra;19792.5078125;4372;4527.10986328
87;PARANÁ;Diamante do Norte;39603.3515625;5668;6987.18017578
88;PARÁ;Breu Branco;282525.6875;52200;5412.37011719
89;PERNAMBUCO;Angelim;41266.19140625;10385;3973.62988281
90;RIO GRANDE DO SUL;Arvorezinha;120895.8828125;10548;11461.5
91;MARANHÃO;Presidente Médici;26121.25585938;6363;4105.18017578
92;RIO GRANDE DO SUL;Palmeira das Missões;597852.75;34225;17468.30078125
93;SÃO PAULO;Divinolândia;158577.421875;11343;13980.20019531
94;BAHIA;Cansanção;112228.7734375;34093;3291.84008789
95;SERGIPE;Tomar do Geru;62506.4609375;13717;4556.85986328
96;PARANÁ;Santa Lúcia;34974.37109375;3743;9343.94042969
